# Lifetime IAP localization values for App Store Connect
# Product ID: org.icorpvideo.compress.lifetime
# Display Name max: 35 chars
# Description max: 55 chars

Format: <locale> | Display Name [len<=35] | Description [len<=55]

ar | فتح بلا حدود [12] | بلا حدود دائمًا [15]
ar-SA | فتح بلا حدود [12] | بلا حدود دائمًا [15]
bg-BG | Отключи без лимит [17] | Без лимит завинаги [18]
ca | Desbloqueja il.limitat [22] | Il.limitat sempre [17]
cs | Odemkni bez limitu [18] | Bez limitu navzdy [17]
da | Las op ubegranset [17] | Ubegranset altid [16]
de | Unbegrenzt freischalt [21] | Unbegrenzt fuer immer [21]
de-DE | Unbegrenzt freischalt [21] | Unbegrenzt fuer immer [21]
el | Ξεκλείδωσε απεριόριστο [22] | Απεριόριστα πάντα [17]
en | Unlock Unlimited Conversions [28] | Unlimited conversions forever [29]
en-AU | Unlock Unlimited Conversions [28] | Unlimited conversions forever [29]
en-CA | Unlock Unlimited Conversions [28] | Unlimited conversions forever [29]
en-GB | Unlock Unlimited Conversions [28] | Unlimited conversions forever [29]
en-IN | Unlock Unlimited Conversions [28] | Unlimited conversions forever [29]
en-US | Unlock Unlimited Conversions [28] | Unlimited conversions forever [29]
es | Desbloquea sin limite [21] | Sin limite siempre [18]
es-ES | Desbloquea sin limite [21] | Sin limite siempre [18]
es-MX | Desbloquea sin limite [21] | Sin limite siempre [18]
fi | Avaa rajaton [12] | Rajaton aina [12]
fr | Debloque illimite [17] | Illimite a vie [14]
fr-CA | Debloque illimite [17] | Illimite a vie [14]
fr-FR | Debloque illimite [17] | Illimite a vie [14]
he | פתח ללא הגבלה [13] | ללא הגבלה תמיד [14]
hi | अनलिमिटेड खोलें [15] | अनलिमिटेड हमेशा [15]
hr | Otkljucaj bez limita [20] | Bez limita zauvijek [19]
hu | Korlatlanra valt [16] | Korlatlan orokre [16]
id | Buka tanpa batas [16] | Tanpa batas selamanya [21]
it | Sblocca illimitato [18] | Illimitato per sempre [21]
ja | 無制限を解除 [6] | 無制限ずっと [6]
ko | 무제한 잠금해제 [8] | 무제한 평생 [6]
ms | Buka tanpa had [14] | Tanpa had selamanya [19]
nb | Las opp ubegrenset [18] | Ubegrenset alltid [17]
nl | Ontgrendel onbeperkt [20] | Onbeperkt altijd [16]
nl-NL | Ontgrendel onbeperkt [20] | Onbeperkt altijd [16]
no | Las opp ubegrenset [18] | Ubegrenset alltid [17]
pl | Odblokuj bez limitu [19] | Bez limitu na zawsze [20]
pt-BR | Desbloqueie ilimitado [21] | Ilimitado para sempre [21]
pt-PT | Desbloqueie ilimitado [21] | Ilimitado para sempre [21]
ro | Deblocheaza nelimitat [21] | Nelimitat mereu [15]
ru | Открой безлимит [15] | Безлимит навсегда [17]
sk | Odomkni bez limitu [18] | Bez limitu navzdy [17]
sv | Las upp obegransat [18] | Obegransat alltid [17]
th | ปลดล็อกไม่จำกัด [15] | ไม่จำกัด ตลอดไป [15]
tr | Sinirsizi ac [12] | Sinirsiz hep [12]
uk | Відкрий безліміт [16] | Безліміт назавжди [17]
vi | Mo khong gioi han [17] | Khong gioi han mai [18]
zh-Hans | 解锁无限转换 [6] | 无限转换永久 [6]
zh-Hant | 解鎖無限轉換 [6] | 無限轉換永久 [6]
zh-Hant-HK | 解鎖無限轉換 [6] | 無限轉換永久 [6]
